RingOderAussen,bike,car,e-bike,freight,pt,ride,walk
Außenbezirke,0.9575963126062662,7.754608683606692,14.052714716284722,0.0,28.965054213892966,15.291267016549034,32.97875905706032
Hundekopf,0.3281378178835111,5.223537539017161,12.576415221327942,0.0,36.85632795495471,14.045924055905337,30.969657410911346
Sonstige,4.315631585942395,24.458220205433935,5.159201807514857,10.882302682792535,10.805787085382294,19.67988759991646,24.698969033017523
