income,bike,car,e-bike,pt,ride,walk
826.0,11.70286422272429,12.039331438427714,21.459198795034375,16.61564997692102,7.850496805383475,30.332458761509123
1142.0,11.745055475156779,11.999517607332368,21.7746020260492,16.458031837916064,7.847322720694645,30.17547033285094
1399.0,11.768816070836973,12.245279041050509,21.86910821311327,16.178056199740986,7.819775321507093,30.118965153751166
1630.0,11.658362816552678,11.950868718253703,21.688523694798615,16.38093735397462,7.842435202660468,30.478872213759917
1847.0,11.969558855278624,12.01213807661861,21.722599371506703,16.562717393911772,7.820183750329838,29.91280255235445
2070.0,11.876655935296506,12.104621764673784,21.505180765989437,16.51721566416268,7.757507411920915,30.238818457956672
2332.0,11.850518865095076,11.97828564573211,21.495411193089797,16.768640153560074,7.9605302621318454,29.946613880391098
2659.0,11.807887168008472,12.06962946917458,21.69753420701108,16.450052348460233,7.778259142929348,30.196637664416286
3156.0,11.684694135947618,12.08322782138938,21.607640270592917,16.562963498896647,7.904351915493976,30.157122357679462
4329.0,12.04583126640936,12.139599036914255,21.64160143252955,16.30893758091251,7.811157759736724,30.0528729234976
