income,bike,car,e-bike,pt,ride,walk
826.0,3.3819769595608102,8.842087364195619,13.801186637274013,25.402175299240287,15.94004870435485,32.63252503537442
1142.0,3.5630298718056945,8.59070681733216,14.192424114518637,25.09557289468289,16.006198671024226,32.55206763063639
1399.0,3.5287384022171344,9.072177370767562,14.049885528376912,24.73551030244608,15.909748162429208,32.7039402337631
1630.0,3.432517887812012,8.61588692596661,14.000133513779229,25.040509294379675,16.027722315614437,32.883230062448035
1847.0,3.4823185067895017,8.555251667386402,14.352118420421284,25.43843865457512,15.759200614173984,32.41267213665371
2070.0,3.469283835065045,8.76444272014161,14.17114244492671,24.973630290612384,15.969132285011092,32.652368424243164
2332.0,3.4144087931075857,8.69891286087979,14.331397441743263,25.133792507619575,16.026302527058483,32.3951858695913
2659.0,3.308456214264219,8.810713210953958,14.045741799578693,25.27053866987662,16.008426120975024,32.55612398435149
3156.0,3.372764654101702,8.861194515790615,14.081322577144304,24.965934715238337,16.227134054432106,32.49164948329294
4329.0,3.418839615221732,8.729505717224272,14.242845907193418,25.147316837074236,15.944098251557866,32.51739367172848
