income,bike,car,e-bike,pt,ride,walk
826.0,2.001820940819423,7.171471927162368,11.969650986342943,28.007890743550835,17.68133535660091,33.16783004552352
1142.0,2.00784578394567,6.898504962367956,12.265214011533663,27.910984700118714,17.96756834931214,32.94988219272186
1399.0,1.9952076484966705,7.458849594817517,12.200026490385195,27.538561572083953,17.647412973064096,33.15994172115258
1630.0,1.945692849821382,7.018565354779624,12.023508433559563,27.729762186357103,17.94125317661044,33.34121799887188
1847.0,2.028865633353712,7.137890938732454,12.355402116972943,28.09424485441316,17.59568933481977,32.78790712170797
2070.0,1.9550229610691738,7.120960608740957,12.296591583768524,27.78410536646836,17.84299233015473,33.00032714979826
2332.0,2.069184614185783,7.161824383050909,12.358762565261436,27.79492774038087,17.974692649359525,32.64060804776148
2659.0,1.8601154678854943,7.308154919413039,12.141568438777965,27.83197017079625,17.854221794563387,33.003969208563866
3156.0,1.9056512832871428,7.1827931076033265,12.046029642125557,27.80636221231474,17.982287022532837,33.0768767321364
4329.0,1.8873513605010366,7.077869868272306,12.46002526947049,27.72085094035075,17.9340696542677,32.91983290713772
